"選択された条件"
"表示銘柄件数：356件"
""
"銘柄区分","銘柄コード","銘柄名","連動指標カテゴリ","連動指標","株価(円)","前日比(％)","売買代金(千円)","出来高","分配金利回り(％)","権利付最終日","信託報酬(％)","ファンド概要","信託報酬詳細"
"ETF","1397","ＳＭＤＡＭ　日経２２５上場投信","日経平均・ＴＯＰＩＸ","日経225","37,730","-3.65","56,687","1,497","1.43","2024/10/04","0.140","信託財産の１口当たりの純資産額の変動率を対象指数（日経平均株価（日経２２５））の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。個別銘柄の株式の比率は、日経平均株価（日経２２５）における個別銘柄の株数の比率を維持することを原則とする。","-"
"ETF","1473","Ｏｎｅ　ＥＴＦ　トピックス","日経平均・ＴＯＰＩＸ","TOPIX","2,688","-3.12","22,348","8,310","1.96","2025/01/06","0.078","当ファンドは、東証株価指数（ＴＯＰＩＸ）に連動する投資成果をめざして運用を行う。信託財産の１口当たりの純資産額の変動率を東証株価指数（ＴＯＰＩＸ）の変動率に一致させることを目的として、東証株価指数（ＴＯＰＩＸ）に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、東証株価指数（ＴＯＰＩＸ）における個別銘柄の時価総額構成比率から算出される株数の比率程度を維持することを原則とする。","-"
"ETF","1475","ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ","日経平均・ＴＯＰＩＸ","TOPIX","270","-3.15","1,191,264","4,395,060","2.16","2025/02/05","0.045","主としてＴＯＰＩＸ（配当込み）に採用されている銘柄および採用が決定された銘柄の株式に投資することにより、基準価額が同指数の動きと高位に連動することを目指す。","-"
"ETF","1578","上場インデックスファンド日経２２５（ミニ）","日経平均・ＴＯＰＩＸ","日経225","2,970","-3.88","42,464","14,253","1.39","2025/01/06","0.225","信託財産の１口当たりの純資産額の変動率を日経平均株価の変動率に一致させることをめざして、原則として日経平均株価に採用されている株式に投資を行う。","-"
"ETF","2524","ＮＺＡＭ　上場投信　ＴＯＰＩＸ","日経平均・ＴＯＰＩＸ","TOPIX","2,695","-2.88","3,254","1,200","2.19","2025/02/12","0.075","ＴＯＰＩＸに採用されている銘柄（採用予定を含む。）の株式を主要投資対象とする。投資信託財産の１口当たりの純資産額の変動率をＴＯＰＩＸ（配当込み）の変動率に一致させることを目的とする。","-"
"ETF","2525","ＮＺＡＭ　上場投信　日経２２５","日経平均・ＴＯＰＩＸ","日経平均株価","37,370","-3.81","858,746","22,928","2.42","2025/02/12","0.135","日経２２５に採用されている銘柄（採用予定を含む。）の株式を主要投資対象とする。投資信託財産の１口当たりの純資産額の変動率を日経２２５の変動率に一致させることを目的とする。","-"
"ETF","2557","ＳＭＤＡＭ　トピックス上場投信","日経平均・ＴＯＰＩＸ","東証株価指数","2,673","-3.17","242,934","90,310","1.92","2024/10/04","0.074","信託財産の１口当たりの純資産額の変動率を対象指数（東証株価指数（ＴＯＰＩＸ））の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、対象指数における個別銘柄の時価総額構成比率から算出される株数の比率程度を維持することを原則とする。株式以外の資産への投資割合は、原則として信託財産総額の５０％以下とする。","-"
"ETF","2624","ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）","日経平均・ＴＯＰＩＸ","日経平均株価","3,740","-3.86","27,236","7,275","1.49","2024/10/08","0.120","信託財産の１口当たりの純資産額の変動率を日経平均トータルリターン･インデックスの変動率に一致させることを目的として、日経平均株価に採用されている銘柄（採用予定を含む。）の株式に対する投資として運用を行う。日経平均株価を構成する全銘柄の株式を組入れることを原則とする。基本方針に沿うよう、信託財産の構成を調整するための指図を行なうこと（株価指数先物取引等を利用することを含む。）がある。","-"
"ETF","2625","ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）","日経平均・ＴＯＰＩＸ","東証株価指数","2,651","-3.07","10,746","4,050","1.95","2024/10/08","0.060","信託財産の１口当たりの純資産額の変動率を東証株価指数の変動率に一致させることを目的として、ＴＯＰＩＸ（配当込み）に採用されている銘柄（採用予定を含む。）の株式に対する投資として運用を行う。ＴＯＰＩＸ（配当込み）を構成する全銘柄の株式の時価総額構成比率の９５％以上を構成する銘柄の株式を組入れることを原則とする。基本方針に沿うよう、信託財産の構成を調整するための指図を行うこと（株価指数先物取引等を利用することを含む。）がある。","-"
"ETF","1343","ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信","ＲＥＩＴ","東証REIT指数","1,888","-0.50","1,112,570","589,330","4.23","2024/11/06","0.155","東証ＲＥＩＴ指数に採用されている銘柄または採用が決定された銘柄の不動産投資信託証券のみに投資を行い、信託財産中に占める個別銘柄の口数の比率を東証ＲＥＩＴ指数における個別銘柄の時価総額構成比率から算出される口数の比率に相当する比率に維持することを目的とした運用を行い、東証ＲＥＩＴ指数に連動する投資成果をめざす。","-"
"ETF","1345","上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型","ＲＥＩＴ","東証REIT指数","1,787","-0.53","155,066","86,700","4.13","2024/09/04","0.300","東証ＲＥＩＴ指数に採用されている不動産投資信託証券に投資を行い、東証ＲＥＩＴ指数の計算方法に従ってポートフォリオを構成し、原則としてそれを維持することにより、基準価額が同指数の動きと高位に連動することを目指す。東証ＲＥＩＴ指数の動きに連動する投資成果を目指す。","-"
"ETF","1398","ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信","ＲＥＩＴ","東証REIT指数","1,814","-0.38","13,569","7,480","4.03","2024/09/04","0.220","信託財産の１口当たりの純資産額の変動率を対象指数（東証ＲＥＩＴ指数）の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定の銘柄を含む。）の不動産投資信託証券に対する投資として運用を行う。個別銘柄の口数の比率は、（東証ＲＥＩＴ指数）における個別銘柄の時価総額構成比率から算出される口数を維持することを原則とする。","-"
"ETF","1476","ｉシェアーズ・コア　Ｊリート　ＥＴＦ","ＲＥＩＴ","東証REIT指数","1,810","-0.60","33,361","18,419","4.23","2024/11/06","0.150","主として東証ＲＥＩＴ指数（配当込み）に採用されている銘柄および採用が決定された銘柄の不動産投資信託証券に投資することにより、基準価額が同指数の動きと高位に連動することを目指す。対象指数に連動する投資成果を目指すため、不動産投信指数先物取引の買建を行うことができる。","-"
"ETF","1488","ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数","ＲＥＩＴ","東証REIT指数","1,800","-0.50","24,432","13,567","4.18","2024/12/02","0.155","信託財産の１口当たりの純資産額の変動率を「東証ＲＥＩＴ指数（配当込み）」の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に対する投資として運用を行う。","-"
"ETF","1595","ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数","ＲＥＩＴ","東証REIT指数","1,799","-0.42","22,502","12,510","4.11","2024/10/10","0.248","東証ＲＥＩＴ指数の動きに連動する投資成果をめざし、東証ＲＥＩＴ指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券を主要投資対象とする。投資信託財産の１口当たりの純資産額の変動率を東証ＲＥIT指数の変動率に一致させることを目的とする。","-"
"ETF","1597","ＭＡＸＩＳ　Ｊリート上場投信","ＲＥＩＴ","東証REIT指数","1,819","-0.44","91,857","50,510","4.12","2024/09/04","0.145","当ファンドは、信託財産の１口当たりの純資産額の変動率を対象指数（東証ＲＥＩＴ指数）の変動率に一致させることを目的として、東証ＲＥＩＴ指数に採用されている銘柄（採用予定の銘柄を含む。）の不動産投資信託証券に対する投資として運用を行う。個別銘柄の口数の比率は、東証ＲＥＩＴ指数における個別銘柄の時価総額構成比率から算出される口数の比率程度を維持することを原則とする。東証ＲＥＩＴ指数に連動する成果をめざして運用を行う。","-"
"ETF","1660","ＭＡＸＩＳ高利回りＪリート上場投信","ＲＥＩＴ","野村高利回りJリート指数","9,991","-0.49","9,594","960","4.21","2024/10/08","0.145","野村高利回りＪリート指数に採用されている銘柄（採用予定の銘柄を含む。）の不動産投資信託証券に対する投資として運用することを目的とし、信託財産の１口当たりの純資産額の変動率を野村高利回りＪリート指数の変動率に一致させるよう運用を行う。","-"
"ETN","2066","ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ","ＲＥＩＴ","税引後配当込東証REIT米ドルヘッジ指数","-","-","-","-","-","-","-","-","-"
"ETF","2096","グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ","ＲＥＩＴ","配当込み東証 REIT オフィス フォーカス指数","964","-0.41","20","21","3.72","2024/10/22","0.275","信託財産の１口当たりの純資産額の変動率を配当込み東証ＲＥＩＴオフィスフォーカス指数の変動率に一致させることを目的として、配当込み東証ＲＥＩＴオフィスフォーカス指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に対する投資として運用を行う。基本方針に沿うよう、信託財産の構成を調整するための指図を行うこと（不動産投信指数先物取引を利用することを含む。）がある。","-"
"ETF","2097","グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ","ＲＥＩＴ","配当込み東証 REIT 住宅 フォーカス指数","1,008","0.00","25","25","2.96","2024/10/22","0.275","信託財産の１口当たりの純資産額の変動率を配当込み東証ＲＥＩＴ住宅フォーカス指数の変動率に一致させることを目的として、配当込み東証ＲＥＩＴ住宅フォーカス指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に対する投資として運用を行う。基本方針に沿うよう、信託財産の構成を調整するための指図を行うこと（不動産投信指数先物取引を利用することを含む。）がある。","-"
"ETF","2098","グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ","ＲＥＩＴ","配当込み東証 REIT ホテル リテール フォーカス指数","980","-0.71","406","414","3.74","2024/10/22","0.275","信託財産の１口当たりの純資産額の変動率を配当込み東証ＲＥＩＴホテル＆リテールフォーカス指数の変動率に一致させることを目的として、配当込み東証ＲＥＩＴホテル＆リテールフォーカス指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に対する投資として運用を行う。基本方針に沿うよう、信託財産の構成を調整するための指図を行うこと（不動産投信指数先物取引を利用することを含む。）がある。","-"
"ETF","210A","ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数","ＲＥＩＴ","日経高利回りREIT 指数（トータルリターン）","1,500","-0.60","1,312","874","0.00","2024/12/02","0.145","信託財産の１口当たりの純資産額の変動率を「日経高利回りＲＥＩＴ指数（トータルリターン）」の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に対する投資として運用を行う。基本方針に沿うよう、信託財産の構成を調整するための指図を行なうこと（不動産投信指数先物取引を利用することを含む。）がある。","-"
"ETF","2517","ＭＡＸＩＳ　Ｊリート・コア上場投信","ＲＥＩＴ","東証REIT Core指数","1,054","-0.47","1,930","1,830","4.09","2024/11/06","0.145","東証ＲＥＩＴ　Ｃｏｒｅ指数に採用されている銘柄（採用予定の銘柄を含む。）の不動産投資信託証券に対する投資として運用することを目的とし、信託財産の１口当たりの純資産額の変動率を東証ＲＥＩＴ　Ｃｏｒｅ指数の変動率に一致させるよう運用を行う。","-"
"ETF","2527","ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数","ＲＥＩＴ","東証REIT Core指数","1,065","-0.23","11","10","4.08","2025/01/10","0.240","東証ＲＥＩＴ　Ｃｏｒｅ指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券を主要投資対象とする。投資信託財産の１口当たりの純資産額の変動率を東証ＲＥＩＴ　Ｃｏｒｅ指数の変動率に一致させることを目的とする。","-"
"ETF","2528","ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数","ＲＥＩＴ","東証REIT Core指数","1,064","-0.37","598","563","3.97","2024/09/06","0.200","信託財産の１口当たりの純資産額の変動率を東証ＲＥＩＴ　Ｃｏｒｅ指数（配当込み）の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に対する投資として運用を行う。","-"
"ETF","2552","上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）","ＲＥＩＴ","東証REIT指数","1,888","-0.58","295","156","3.90","2024/10/04","0.245","信託財産の１口あたりの純資産額の変動率を東証ＲＥＩＴ指数の変動率に一致させることを目指して、主として、「インデックスマザーファンドＪリート」受益証券に投資を行う。東証ＲＥＩＴ指数への連動率を向上させるため、資金動向に応じて有価証券指数等先物取引など（東証ＲＥＩＴ指数を対象とする先物取引とする。）を行う場合がある。","-"
"ETF","2555","東証ＲＥＩＴ　ＥＴＦ","ＲＥＩＴ","東証REIT 指数","1,807","-0.50","2,401","1,330","3.87","2024/10/09","0.245","基準価額の変動率を東証ＲＥＩＴ指数の変動率に一致させることを目指して、東証ＲＥＩＴ指数に採用されているＲＥＩＴ（採用予定を含む。）への投資を行う。指数先物取引の買い建てを行う場合がある。指数先物取引の買い建てを行う際、日本国債に投資することがある。","-"
"ETF","2556","Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数","ＲＥＩＴ","東証REIT指数","1,807","-0.44","2,731","1,510","4.06","2024/10/04","0.155","信託財産の１口当たりの純資産額の変動率を東証ＲＥＩＴ指数の変動率に一致させることを目的として、対象指数に採用されている銘柄（採用予定の銘柄を含む。）の不動産投資信託証券に対する投資として運用を行う。","-"
"ETF","2565","グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ","ＲＥＩＴ","東証REIT物流フォーカス指数","878","-0.57","5,314","6,059","3.85","2024/10/22","0.275","信託財産の１口当たりの純資産額の変動率を「配当込み東証ＲＥＩＴ物流フォーカス指数」の変動率に一致させることを目的として、「配当込み東証ＲＥＩＴ物流フォーカス指数」に採用されている銘柄（採用予定を含む。）の不動産投資信託証券に投資する。","-"
"ETF","2566","上場インデックスファンド日経ＥＳＧリート","ＲＥＩＴ","日経ESG-REIT指数","992","-0.50","70","70","4.12","2024/10/04","0.150","信託財産の１口あたりの純資産額の変動率を、「日経ＥＳＧーＲＥＩＴ指数」の変動率に一致させることをめざし、主として「日経ＥＳＧーＲＥＩＴ指数」に採用されている不動産投資信託証券に投資を行う。","-"
"ETF","1311","ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信","国内指標その他","TOPIX Core 30","1,362","-3.27","20,742","15,200","1.77","2025/07/11","0.190","ＴＯＰＩＸ　Ｃｏｒｅ　３０に採用されているまたは採用が決定された銘柄の株式のみに投資を行ない、信託財産中に占める個別銘柄の株数の比率をＴＯＰＩＸ　Ｃｏｒｅ　３０における個別銘柄の時価総額構成比率から算出される株数の比率に相当する比率に維持することを目的とした運用を行ない、ＴＯＰＩＸ　Ｃｏｒｅ　３０に連動する投資成果を目指して運用を行う。","-"
"ETF","1319","ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信","国内指標その他","日経株価指数300","458","-2.90","458","1,000","1.81","2025/07/08","0.505","日経株価指数３００に採用されている銘柄の株式のみに投資を行ない、信託財産中に占める個別銘柄の株数の比率を日経３００における個別銘柄の時価総額構成比率から算出される株数の比率に相当する比率に維持することを目的とした運用を行い、日経３００に連動する投資成果を目指して運用を行う。","-"
"ETF","1364","ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ","国内指標その他","JPX 日経インデックス400","24,715","-2.95","288,925","11,697","2.09","2025/02/05","0.045","主としてＪＰＸ日経インデックス４００（配当込み）に採用されている銘柄の株式に投資することにより、ＪＰＸ日経４００（配当込み）に高位に連動する投資成果を目指す。","-"
"ETF","1399","上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ","国内指標その他","MSCIジャパンIMI カスタム高流動性高利回り低ボラティリティ指数","2,183","-2.00","1,077","490","2.43","2024/10/04","0.350","信託財産の１口当たりの純資産額の変動率を対象インデックス（この信託では、「ＭＳＣＩジャパンＩＭＩカスタム高流動性高利回り低ボラティリティ指数」を対象インデックスとする。）の変動率に一致させることをめざして、「ＭＳＣＩジャパンＩＭＩカスタム高流動性高利回り低ボラティリティ指数」に採用されている株式に投資を行なう。","-"
"ETF","1474","Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００","国内指標その他","JPX 日経インデックス400","-","-","-","-","1.91","2025/01/06","0.170","当ファンドは、ＪＰＸ日経インデックス４００に連動する投資成果をめざして運用を行う。信託財産の１口当たりの純資産額の変動率をＪＰＸ日経４００の変動率に一致させることを目的として、ＪＰＸ日経４００に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、ＪＰＸ日経４００における個別銘柄の構成比率から算出される株数の比率程度を維持することを原則とする。","-"
"ETF","1477","ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ","国内指標その他","MSCI 日本株最小分散インデックス","2,546","-1.93","181","71","2.17","2025/02/05","0.190","主としてＭＳＣＩ日本株最小分散指数（配当込み）に採用されている銘柄および採用が決定された銘柄の株式に投資することにより、基準価額が同指数の動きと高位に連動することを目指す。","-"
"ETF","1478","ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ","国内指標その他","MSCI ジャパン高配当利回りインデックス","3,590","-2.58","54,905","15,268","2.43","2025/02/05","0.190","主としてＭＳＣＩジャパン高配当利回り指数（配当込み）に採用されている銘柄および採用が決定された銘柄の株式に投資することにより、基準価額が同指数の動きと高位に連動することを目指す。","-"
"ETF","1479","ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数","国内指標その他","ＭＳＣＩ日本株人材設備投資指数","-","-","-","-","1.71","2025/01/08","0.150","信託財産の１口当たりの純資産額の変動率を「ＭＳＣＩ日本株人材設備投資指数（配当込み）」の変動率に一致させることを目的として、対象株価指数に採用されている銘柄（採用予定を含む。）の株式に対する投資として運用を行う。","-"
"ETF","1480","ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信","国内指標その他","野村企業価値分配指数","26,640","-3.23","27","1","1.72","2024/10/16","0.230","野村企業価値分配指数に採用されている銘柄の株式および採用が決定された銘柄の株式のみに投資を行ない、信託財産中に占める個別銘柄の株数の比率を、野村企業価値分配指数の算出ルールに基づき計算された野村企業価値分配指数における個別銘柄の構成比率から算出される株数の比率に相当する比率に維持することを目的とした運用を行ない、野村企業価値分配指数に連動する投資成果を目指す。","-"
"ETF","1481","上場インデックスファンド日本経済貢献株","国内指標その他","JPX/S&P 設備・人材投資指数","2,911","0.21","64","22","2.02","2025/01/06","0.150","信託財産の１口あたりの純資産額の変動率をＪＰＸ／Ｓ＆Ｐ　設備･人材投資指数の変動率に一致させることをめざして、ＪＰＸ／Ｓ＆Ｐ　設備･人材投資指数に採用されている株式に投資を行う。","-"
"ETF","1483","ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ","国内指標その他","JPX/S&P 設備・人材投資指数","2,849","-0.04","37","13","2.10","2025/02/05","0.190","主としてＪＰＸ／Ｓ＆Ｐ　設備･人材投資指数（トータルリターン）に採用されている銘柄および採用が決定された銘柄の株式に投資することにより、対象指数に高位に連動する投資成果を目指す。","-"
"ETF","1484","Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数","国内指標その他","JPX/S&P 設備・人材投資指数","2,785","-2.64","252","90","2.00","2025/01/06","0.165","信託財産の１口当たりの純資産額の変動率をＪＰＸ／Ｓ＆Ｐ　設備･人材投資指数の変動率に一致させることを目的として、ＪＰＸ／Ｓ＆Ｐ　設備･人材投資指数に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。","-"
"ETF","1485","ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信","国内指標その他","ｉＳＴＯＸＸ ＭＵＴＢ Ｊａｐａｎ 積極投資企業２００インデックス","52,450","0.00","52","1","2.09","2025/01/14","0.220","ｉＳＴＯＸＸ　ＭＵＴＢ　Ｊａｐａｎ　積極投資企業２００インデックスに採用されている銘柄（採用予定の銘柄を含む。）の株式のみに対する投資として運用することを目的とし、信託財産の１口当たりの純資産額の変動率を対象指数の変動率に一致させるよう運用を行う。","-"
"ETF","1489","ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信","国内指標その他","日経平均高配当株50指数","2,257","-2.72","1,423,388","630,002","46.83","2024/10/03","0.280","日本の金融商品取引所に上場されている株式のうち、日経平均高配当株５０指数に採用されている銘柄の株式および対象株価指数に採用が決定された銘柄の株式を投資対象とし、日経平均高配当株５０指数に連動する投資成果を目指す。","-"
"ETF","1490","上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）","国内指標その他","MSCIジャパンIMIカスタムロングショート戦略85%＋円キャッシュ15%指数","-","-","-","-","2.28","2024/10/04","0.450","信託財産の１口あたりの純資産額の変動率を「ＭＳＣＩジャパンＩＭＩカスタムロングショート戦略８５％＋円キャッシュ１５％指数」の変動率に一致させることを目指して、「ＭＳＣＩジャパンＩＭＩカスタムロングショート戦略８５％＋円キャッシュ１５％指数」に採用されている株式に投資を行うとともに、株価指数先物取引（ＴＯＰＩＸ先物取引等）の売り建てを行う。","-"
"ETF","1493","Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型","国内指標その他","ＪＰＸ日経中小型株指数","18,970","-2.39","1,652","87","1.81","2025/01/06","0.500","当ファンドは、ＪＰＸ日経中小型株指数に連動する投資成果をめざして運用を行う。信託財産の１口当たりの純資産額の変動率をＪＰＸ日経中小型株指数の変動率に一致させることを目的として、ＪＰＸ日経中小型株指数に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、ＪＰＸ日経中小型株指数における個別銘柄の構成比率から算出される株数の比率程度を維持することを原則とする。","-"
"ETF","1494","Ｏｎｅ　ＥＴＦ　高配当日本株","国内指標その他","Ｓ＆Ｐ／ＪＰＸ　配当貴族指数","30,160","-1.66","15,469","512","2.96","2024/10/04","0.280","当ファンドは、Ｓ＆Ｐ／ＪＰＸ配当貴族指数に連動する投資成果をめざして運用を行う。信託財産の１口当たりの純資産額の変動率をＳ＆Ｐ／ＪＰＸ配当貴族指数の変動率に一致させることを目的として、Ｓ＆Ｐ／ＪＰＸ配当貴族指数に採用されている銘柄（採用予定の銘柄を含む。）の株式に対する投資として運用を行う。信託財産中に占める個別銘柄の株数の比率は、Ｓ＆Ｐ／ＪＰＸ配当貴族指数における個別銘柄の構成比率から算出される株数の比率程度を維持することを原則とする。","-"
